"자전거번호","대여날짜","고장구분"
"SPB-06096","2019-07-01","체인"
"SPB-06096","2019-07-01","안장"
"SPB-06109","2019-02-09","체인"
"SPB-06109","2019-02-09","타이어 "
"SPB-06110","2019-07-10","체인"
"SPB-06111","2019-06-23","기타 "
"SPB-06116","2019-01-30","페달"
"SPB-06116","2019-01-30","타이어 "
"SPB-06120","2019-07-18","기타 "
"SPB-06122","2019-12-19","페달"
"SPB-06122","2019-12-19","체인"
"SPB-06125","2019-10-23","체인"
"SPB-06125","2019-10-31","체인"
"SPB-06144","2019-08-19","안장"
"SPB-06144","2019-09-06","타이어 "
"SPB-06171","2019-06-23","체인"
"SPB-06181","2019-08-27","기타 "
"SPB-06183","2019-10-30","타이어 "
"SPB-06183","2019-11-13","단말기"
"SPB-06191","2019-10-22","타이어 "
"SPB-06191","2019-10-29","단말기"
"SPB-06196","2019-04-09","기타 "
"SPB-06213","2019-06-15","기타 "
"SPB-06215","2019-11-26","안장"
"SPB-06250","2019-04-02","페달"
"SPB-06250","2019-04-02","체인"
"SPB-06253","2019-03-27","체인"
"SPB-06271","2019-07-02","체인"
"SPB-06273","2019-08-22","단말기"
"SPB-06286","2019-10-01","단말기"
"SPB-06286","2019-11-18","기타 "
"SPB-06299","2019-10-18","체인"
"SPB-06303","2019-04-15","기타 "
"SPB-06306","2019-05-14","기타 "
"SPB-06333","2019-07-06","기타 "
"SPB-06337","2019-08-25","체인"
"SPB-06347","2019-09-21","안장"
"SPB-06347","2019-09-21","페달"
"SPB-06354","2019-06-12","체인"
"SPB-06354","2019-11-10","기타 "
"SPB-06354","2019-11-11","기타 "
"SPB-06354","2019-11-12","기타 "
"SPB-06354","2019-11-20","기타 "
"SPB-06372","2019-07-03","안장"
"SPB-06376","2019-09-05","단말기"
"SPB-06389","2019-10-20","페달"
"SPB-06389","2019-10-21","페달"
"SPB-06389","2019-11-04","페달"
"SPB-06391","2019-05-15","체인"
"SPB-06395","2019-04-12","안장"
"SPB-06408","2019-05-11","안장"
"SPB-06410","2019-06-24","안장"
"SPB-06413","2019-09-28","타이어 "
"SPB-06421","2019-10-24","타이어 "
"SPB-06425","2019-04-08","단말기"
"SPB-06441","2019-06-16","페달"
"SPB-06441","2019-06-16","체인"
"SPB-06443","2019-10-11","체인"
"SPB-06443","2019-10-11","타이어 "
"SPB-06454","2019-06-29","타이어 "
"SPB-06458","2019-08-18","타이어 "
"SPB-06458","2019-08-28","단말기"
"SPB-06467","2019-02-19","안장"
